Q10	mandatory constraint	强制约束
Q100	work	作品
Q101	Into the Wild	
Q102	hardback	精装书
Q103	paperback	平装书
Q104	digital distribution	数字发行
Q105	HarperCollins	哈珀柯林斯
Q106	China Children's Press & Publication Group	中国少年儿童出版社
Q107	publisher	出版社
Q108	volume	卷
Q109	chapter	章
Q11	distinct values constraint	不同值约束
Q110	audiobook	有声书
Q111	Library binding	图书馆装订
Q113	Into the Wild	
Q114	Dave Stevenson	
Q115	Into the Wild	
Q116	graphic novel	漫画小说
Q117	comic book album	
Q12	multi-value constraint	多值约束
Q126	Super Edition	长篇外传
Q127	The Untold Stories	不为人知的故事
Q128	Tales from the Clans	族群的传说
Q129	Shadows of the Clans	族群的阴影
Q13	used as qualifier constraint	用作限定符约束
Q130	Legends of the Clans	族群的传奇
Q131	Novella Compilation	短篇小说集
Q132	The Field Guide	荒野手册
Q134	Graystripe's Adventure	灰条历险记
Q135	Tigerstar and Sasha	虎星与莎夏
Q136	Ravenpaw's Path	乌爪的旅程
Q137	SkyClan and the Stranger	天族与陌生者
Q138	Victoria Holmes	维多利亚·霍姆斯
Q139	Midnight	午夜追踪
Q14	single value constraint	单一值约束
Q140	Moonrise	新月危机
Q141	Dawn	重现家园
Q142	Starlight	星光指路
Q143	Twilight	黄昏战争
Q144	Sunset	日落和平
Q15	symmetric constraint	对称约束
Q152	The Sight	预视力量
Q153	Dark River	暗河汹涌
Q154	Outcast	驱逐之战
Q155	Eclipse	天蚀遮月
Q156	Long Shadows	暗夜长影
Q157	Sunrise	拂晓之光
Q158	The Fourth Apprentice	第四学徒
Q159	Fading Echoes	战声渐近
Q16	type constraint	类型约束
Q160	Night Whispers	暗夜密语
Q161	Sign of the Moon	月光印记
Q162	The Forgotten Warrior	武士归来
Q163	The Last Hope	群星之战
Q164	The Sun Trail	追随太阳
Q165	Thunder Rising	雷电崛起
Q166	The First Battle	首次战争
Q167	The Blazing Star	燃烧之星
Q168	A Forest Divided	占地为王
Q169	Path of Stars	群星之路
Q17	value type constraint	值类型约束
Q170	The Apprentice's Quest	学徒探索
Q171	Thunder and Shadow	族群情仇
Q172	Shattered Sky	天空破碎
Q173	Darkest Night	极夜无光
Q174	River of Fire	
Q175	The Raging Storm	
Q176	Firestar's Quest	火星的探索
Q177	Bluestar's Prophecy	蓝星的预言
Q178	SkyClan's Destiny	天族外传
Q179	Crookedstar's Promise	钩星的承诺
Q18	inverse constraint	相反约束
Q180	Yellowfang's Secret	黄牙的秘密
Q181	Tallstar's Revenge	高星的复仇
Q182	Bramblestar's Storm	黑莓星的风暴
Q183	Moth Flight's Vision	蛾飞的幻象
Q184	Hawkwing's Journey	鹰翅的旅程
Q185	Tigerheart's Shadow	虎心的阴影
Q186	Crowfeather's Trial	Crowfeather's Trial
Q187	Hollyleaf's Story	冬青叶的故事
Q188	Mistystar's Omen	雾星的征兆
Q189	Cloudstar's Journey	云星的旅程
Q19	item requires statement constraint	项要求声称约束
Q190	Tigerclaw's Fury	虎掌的愤怒
Q191	Leafpool's Wish	叶池的希望
Q192	Dovewing's Silence	鸽翅的沉默
Q193	Mapleshade's Vengeance	枫荫的复仇
Q194	Goosefeather's Curse	鹅羽的诅咒
Q195	Ravenpaw's Farewell	乌爪的告别
Q196	Spottedleaf's Heart	斑叶的心声
Q197	Pinestar's Choice	松星的抉择
Q198	Thunderstar's Echo	雷星的怀响
Q199	Secrets of the Clans	族群的秘密
Q2	Universe	宇宙
Q20	value requires statement constraint	值要求声明约束
Q200	Cats of the Clans	族群的猫
Q201	Code of the Clans	族群的守则
Q202	Battles of the Clans	族群的战争
Q203	Enter the Clans	进入族群
Q204	The Ultimate Guide	终极指南
Q205	The Warriors Guide	武士指南
Q206	The Rise of Scourge	长鞭崛起
Q207	The Lost Warrior	武士失踪
Q208	Warrior's Refuge	武士避难
Q209	Warrior's Return	武士回归
Q21	conflicts-with constraint	冲突约束
Q210	Into the Woods	进入森林
Q211	Escape from the Forest	逃出森林
Q212	Return to the Clans	返回族群
Q213	Shattered Peace	和平破碎
Q214	A Clan in Need	族群救星
Q215	The Heart of a Warrior	武士之心
Q216	The Rescue	救援
Q217	Beyond the Code	超越守则
Q218	After the Flood	洪水过后
Q219	Dan Jolley	丹·乔利
Q22	one-of constraint	之一约束
Q220	Tui Sutherland	杜依·苏特兰
Q221	Clarissa Hutton	
Q222	Barnes & Noble	巴诺书店
Q223	Wayne McLoughlin	
Q224	Turtleback	
Q225	business enterprise	企业
Q226	e-book	电子书
Q227	James L. Barry	詹姆斯·巴利
Q228	Tokyopop	TOKYOPOP
Q229	imprint	出版社品牌
Q231	Collins	柯林斯
Q232	HarperCollins Children's Books	哈珀柯林斯儿童出版社
Q233		
Q234	Allen Douglas	
Q235	Owen Richardson	
Q236	HarperAudio	
Q237	Kathleen McInerney	
Q238	Don Hudson	丹·哈德森
Q239	Nanette Savard	
Q24	mandatory qualifier constraint	强制限定符约束
Q240	Harper Trophy	
Q241	Bettina M. Kurkoski	贝蒂娜·卡克斯克
Q242	MacLeod Andrews	
Q245	Goosefeather's Curse	
Q246	Thunder and Shadow	
Q247	Thunder and Shadow	
Q248	Thunder and Shadow	
Q249	The Warriors Guide	
Q25	allowed qualifiers constraint	允许的限定符约束
Q250	Eclipse	
Q251	Eclipse	
Q252	Eclipse	
Q255	Cats of the Clans	
Q256	Bluestar's Prophecy	
Q257	Bluestar's Prophecy	
Q258	Bluestar's Prophecy	
Q259	Code of the Clans	
Q26	range constraint	范围约束
Q260	Code of the Clans	
Q261	Bramblestar's Storm	
Q262	Bramblestar's Storm	
Q263	Tallstar's Revenge	
Q264	Tallstar's Revenge	
Q265	Tallstar's Revenge	
